New Time: 22.633273601531982
Old Time: 42.15370440483093
         33168290 function calls (32649986 primitive calls) in 73.798 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._OptionalValidator>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._ProvidesValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init fiona.env.GDALVersion>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init fiona.path.ParsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init fiona.path.UnparsedPath>:1(<module>)
       20    0.000    0.000    0.000    0.000 <attrs generated init fiona.path.UnparsedPath>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init rasterio.env.GDALVersion>:1(<module>)
        8    0.000    0.000    0.000    0.000 <attrs generated init rasterio.env.GDALVersion>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init rasterio.path.ParsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init rasterio.path.UnparsedPath>:1(<module>)
      120    0.000    0.000    0.000    0.000 <attrs generated init rasterio.path.UnparsedPath>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init rasterio.rpc.RPC>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init rasterio.windows.Window>:1(<module>)
      100    0.001    0.000    0.001    0.000 <attrs generated init rasterio.windows.Window>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated repr attr._make.Attribute>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr attr._make.Factory>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr attr._make._AndValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr attr._make._CountingAttr>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr attr._version_info.VersionInfo>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr fiona.env.GDALVersion>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr fiona.path.ParsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr fiona.path.UnparsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr rasterio.env.GDALVersion>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr rasterio.path.ParsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr rasterio.path.UnparsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr rasterio.rpc.RPC>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr rasterio.windows.Window>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        3    0.000    0.000    0.001    0.000 <decorator-gen-1>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
224941/217217    0.382    0.000    9.103    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     3214    0.017    0.000    0.019    0.000 <frozen importlib._bootstrap>:103(release)
     1912    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:143(__init__)
     1912    0.006    0.000    0.050    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1912    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:151(__exit__)
     3214    0.025    0.000    0.037    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1900    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:176(cb)
     1302    0.004    0.000    0.021    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   2388/4    0.005    0.000    8.755    2.189 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    18338    0.023    0.000    0.023    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
     1804    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:307(__init__)
     1804    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1804    0.024    0.000    0.035    0.000 <frozen importlib._bootstrap>:318(__exit__)
     7212    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1587    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:35(_new_module)
     2091    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:369(__init__)
     3369    0.007    0.000    0.054    0.000 <frozen importlib._bootstrap>:403(cached)
     5301    0.015    0.000    0.019    0.000 <frozen importlib._bootstrap>:416(parent)
     1804    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:424(has_location)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
     1804    0.020    0.000    0.105    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
1804/1739    0.008    0.000    0.763    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     1900    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:58(__init__)
   1804/4    0.023    0.000    8.759    2.190 <frozen importlib._bootstrap>:663(_load_unlocked)
     1868    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
     3214    0.019    0.000    0.021    0.000 <frozen importlib._bootstrap>:78(acquire)
     1863    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:792(find_spec)
     7740    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:855(__enter__)
     7740    0.012    0.000    0.015    0.000 <frozen importlib._bootstrap>:859(__exit__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
1870/1682    0.059    0.000    4.589    0.003 <frozen importlib._bootstrap>:882(_find_spec)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
